show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Razor's Edge Unleashed,Bong Joon-ho,"Riz Ahmed, Florence Pugh, Leonardo DiCaprio",United States,"February 21, 2017",2007,PG,101 min,"Dramas, International Movies",A young woman navigates the dangerous underbelly of modern Seoul in this gripping thriller where old enemies resurface and survival demands everything.
s2,Movie,Borrowed Time,Greta Gerwig,"Oscar Isaac, Gemma Chan, Joaquin Phoenix",Italy,"June 14, 2019",1999,PG-13,97 min,"Comedies, Romantic Movies","In the heart of a remote island, a exiled prince uncovers a dangerous secret that pulls them into a world of corporate greed. A heart-wrenching tale of revenge and betrayal."
s3,Movie,Last Stand Returns,Ryan Coogler,"Zendaya, Priyanka Chopra, Saoirse Ronan",India,"February 23, 2017",2004,G,107 min,"Comedies, Dramas","After an unexpected reunion, a rogue agent in modern Seoul is forced to confront a corrupt official and risk everything for their family. A emotionally charged exploration of betrayal."
s4,Movie,The Glass House,David Fincher,"Ryan Gosling, Margot Robbie, Amy Adams",United Kingdom,"December 21, 2021",2004,PG-13,157 min,"Action & Adventure, International Movies","In the heart of small-town America, a rookie cop uncovers a dangerous secret that pulls them into a world of espionage. A visually stunning tale of survival and justice."
s5,Movie,Dead Weight,Kathryn Bigelow,"Anthony Mackie, Ana de Armas, Viola Davis",Italy,"September 24, 2021",2006,R,144 min,"Comedies, Romantic Movies","When an unexpected reunion shakes the foundations of their life, a grieving mother in Los Angeles discovers that the truth comes to light. A pulse-pounding journey of redemption and faith."
s6,Movie,Fire and Ash Unleashed,Hirokazu Kore-eda,"Amy Adams, Gong Yoo, Deepika Padukone",Japan,"September 9, 2023",1990,NR,157 min,"Horror Movies, Thrillers","A pulse-pounding story set in 1970s New York, following a unlikely hero whose life is upended by a sudden revelation. When the stakes become personal, they must find the strength to fight for freedom."
s7,Movie,Vanishing Act,Spike Lee,"Awkwafina, Gong Yoo, Zazie Beetz",Turkey,"November 28, 2019",2022,PG,147 min,"Action & Adventure, Thrillers","A thought-provoking story set in the Arctic, following a single father whose life is upended by a catastrophic accident. When everything goes wrong, they must find the strength to fight for freedom."
s8,Movie,Beneath the Surface Unleashed,Spike Lee,"Joaquin Phoenix, Zazie Beetz, Gemma Chan",Spain,"December 3, 2020",1994,PG,138 min,"Action & Adventure, International Movies","A critically acclaimed story set in futuristic Mumbai, following a rookie cop whose life is upended by a sudden revelation. When the stakes become personal, they must find the strength to fight for redemption."
s9,Movie,The Phantom,Paul Thomas Anderson,"Tom Hanks, Denzel Washington, Song Kang-ho",Brazil,"April 8, 2017",2011,TV-MA,72 min,"Comedies, Romantic Movies","When an unexpected reunion shakes the foundations of their life, a young woman in Los Angeles discovers that betrayal strikes from within. A gripping journey of love and resilience."
s10,Movie,Chain Reaction,Greta Gerwig,"Shah Rukh Khan, Florence Pugh, Oscar Isaac",Spain,"December 5, 2021",2020,R,101 min,"Documentaries, International Movies","When a sudden revelation shakes the foundations of their life, a teacher in Tokyo discovers that everything goes wrong. A heart-wrenching journey of loyalty and courage."
s11,Movie,Dark Waters III,David Lynch,"Steven Yeun, Brad Pitt, Cate Blanchett",Brazil,"March 15, 2020",2001,R,105 min,"LGBTQ Movies, Dramas","In the heart of Tokyo, a grieving mother uncovers a dangerous secret that pulls them into a world of crime. A heart-wrenching tale of survival and redemption."
s12,Movie,Dark Passage Unleashed,Lars von Trier,"Song Kang-ho, Ana de Armas, Tilda Swinton",South Korea,"January 13, 2020",2006,PG-13,128 min,"Classic Movies, Dramas","A gripping story set in Tokyo, following a young woman whose life is upended by a shocking murder. When loyalties are tested, they must find the strength to fight for redemption."
s13,Movie,Night Owl : Rising,James Cameron,"Charlize Theron, Ali Wong, Natalie Portman",Mexico,"February 17, 2023",2001,TV-MA,78 min,Stand-Up Comedy,"After a catastrophic accident, a detective in small-town America is forced to confront a dangerous enemy and risk everything for the truth. A heart-wrenching exploration of revenge."
s14,Movie,Burning Season,Mike Leigh,"Ali Wong, Brad Pitt, Denzel Washington",Canada,"March 13, 2022",2009,PG-13,128 min,"Action & Adventure, International Movies",A surgeon navigates the dangerous underbelly of war-torn Beirut in this pulse-pounding thriller where everything goes wrong and survival demands everything.
s15,Movie,The Phantom,Lars von Trier,"Brad Pitt, Robert De Niro, Joaquin Phoenix",United Kingdom,"October 10, 2023",2023,NR,71 min,"Horror Movies, Thrillers","When an unexpected reunion shakes the foundations of their life, a exiled prince in futuristic Mumbai discovers that betrayal strikes from within. A pulse-pounding journey of identity and identity."
s16,Movie,Dark Passage II,James Wan,"Jennifer Lawrence, Gong Yoo, Robert De Niro",Brazil,"May 16, 2023",1993,NR,81 min,"Sci-Fi & Fantasy, Action & Adventure","When a shocking murder shakes the foundations of their life, a former soldier in a remote island discovers that the stakes become personal. A darkly comic journey of loyalty and humanity."
s17,Movie,Blind Spot II,Quentin Tarantino,"Emma Stone, Aamir Khan, Natalie Portman",Brazil,"March 18, 2020",1998,PG-13,75 min,"Horror Movies, Thrillers","Told across sweeping landscapes of futuristic Mumbai, this darkly comic saga tracks a rogue agent through loss, redemption, and an unexpected battle for freedom."
s18,Movie,The Reckoning,David Fincher,"Daniel Kaluuya, Idris Elba, Samuel L. Jackson",Nigeria,"November 14, 2023",2005,PG,104 min,"Anime Features, Action & Adventure","Told across sweeping landscapes of war-torn Beirut, this critically acclaimed saga tracks a rogue agent through loss, survival, and an unexpected battle for the truth."
s19,Movie,The Negotiator,Ava DuVernay,"Charlize Theron, Joaquin Phoenix, Julianne Moore",Mexico,"June 9, 2022",2022,NR,121 min,"Sci-Fi & Fantasy, Action & Adventure","In the heart of Los Angeles, a detective uncovers a dangerous secret that pulls them into a world of corporate greed. A darkly comic tale of love and love."
